,,,,,,,,,
,,,,,,,,,
,,,Battery QC List (Instalation Check List),,,,,,
,,,Date of Inspection: ,Battery  Serial Number,,,,Battery Pack number,
,,,Final Status: ,,,,,,
,,,Sr no,Check parameter,Inspection Method,Stage,Status,Value,Remark
,,,Module and Cooling Plate Instalation ,,,,,,
,,,1,Check the module is properly placed on the TIM pad,Visual,Instalation time ,,,
,,,2,Check the module-to-cooling plate bolt holes are aligned,Visual,Instalation time ,,,
,,,3,"Check the sequence of all 3 modules (1, 2, 3)",Visual,Instalation time ,,,
,,,4,Check module mounting bolt torque is 10 Nm (±1 Nm) and mark the bolt head after torquing,Functional,Instalation time ,,,
,,,5,Check the heater wiring connections between modules,Visual,Instalation time ,,,
,,,"Slave BMS,Bus Bar And Insulation Sheet",,,,,,
,,,6,Check Slave BMS mounting bolt torque is 10 Nm (±1 Nm) and mark the bolt head after torquing,Functional,Instalation time ,,,
,,,7,Check all 3 module-to-Slave BMS connectors are properly connected,Visual,Instalation time ,,,
,,,8,Check all bus bar connection bolt torque is 15 & 10 Nm and mark the bolt head after torquing,Functional,Instalation time ,,,
,,,9,Check the bus bar is connected to the main positive and negative terminals,Visual,Instalation time ,,,
,,,10,Check insulation sheets on all 3 modules are properly fixed and secured; ensure no excess cable tie length,Visual,Instalation time ,,,
,,,Top Cover and Labeling,,,,,,
,,,11,Check the top cover is properly closed,Visual,Instalation time ,,,
,,,12,Check top cover-to-cooling plate bolt torque is 6 Nm and mark the bolt head after torquing,Functional,Instalation time ,,,
,,,13,Check top cover-to-connector plate bolt torque is 6 Nm and mark the bolt head after torquing,Functional,Instalation time ,,,
,,,14,"Check labeling is consistent across modules, Slave BMS, top cover, and cooling plate",Visual,Instalation time ,,,
,,,Voltage And Resistance ,,,,,,
,,,15,Check the battery voltage,Functional,Instalation time ,,,
,,,16,Check the battery insulation resistance it should be > 2 M?,Functional,Instalation time ,,,
,,,Air Leak Testing,,,,,,
,,,17,Check the upper cover for air leakage,Functional,Instalation time ,,,
,,,19,Check the coolant plate for air leakage,Functional,Instalation time ,,,
,,,Diagnosis Check ,,,,,,
,,,20,Check the BMU number in the diagnosis laptop matches the battery number,Functional,Instalation time ,,,
,,,21,"Check all 48 cell voltages using the diagnosis laptop
Max:
Min:
Difference: ",Functional,Instalation time ,,,
,,,22,"Check all 9 temperature sensors using the diagnosis laptop
Max:
Min:
Difference:",Functional,Instalation time ,,,
,,,23,Check for any fault codes displayed in the diagnosis laptop,Functional,Instalation time ,,,
,,,,,,,,,
,,,Performed by – Employee Name,,,,,,
,,,Signature,,,,,,
,,,,,,,,,
